Id,Designator,Package,Quantity,Designation,Supplier and ref
1,REF**,DISIPADOR2,1,DISIPADOR,
2,U2,DIP-20_W7.62mm_LongPads,1,MC9S08SH8,
3,RV1,Potentiometer_Trimmer-Suntan-TSR-3386P,1,POT,
4,U1,TO-92_Rugged_Reverse,1,78L05,
5,"R1,R10,R5,R3,R4",R3,2,10k,
6,"P2,P1,P6","PHOENIX_MSTBA2,54-G_2",3,CONN_01X02,
7,P5,"PHOENIX_MSTBA2,54-G_3",1,CONN_01X03,
8,"C1,C9,C4,C5,C8",C1,2,0.1 uF,
9,C3,C1V5,1,10 uF,
10,C6,C1V8,1,470 uF,
11,C7,C1,1,0.33 uF,
12,C10,C1,1,0.01 uF,
13,D1,Bridge-rond,1,BRIDGE,
14,D2,Diode_DO-41_SOD81_Horizontal_RM10,1,1N4007,
17,D3,LED-RGB-5MM_Common_Cathode,1,Led_RGB_CA,
18,D4,Diode_DO-41_SOD81_Horizontal_RM10,1,1N4148,
19,D5,Diode_DO-41_SOD81_Horizontal_RM10,1,1N4007,
20,"JP1,JP2,JP3",PINHEAD1-2,3,JUMPER,
21,P4,Pin_Header_Straight_2x03,1,BDM,
22,R7,R3,1,47,
23,R8,R3,1,1k,
24,R11,R3,1,220,
25,T1,TFCOBSIL2209VCA200mA,1,TRANSFO,
26,U4,DIP-8_W7.62mm_LongPads,1,LM311N,
27,U5,SSR2,1,SSR_SHARP,
28,C12,C_Rect_L13_W4_P10,1,0.022 uF,
